sample,family,trim,inflate,retention,trim_relative,inflate_relative,relative_shift
DRR014782,f__Amphibacillaceae,4.0,2.0,0.5,7.416986307872426e-07,4.0983262230788636e-07,-3.3186600847935626e-07
DRR014782,f__Polyangiaceae,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
DRR014782,f__PHOS-HE28,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
DRR014782,f__GCA-002686595,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
DRR014782,f__GCA-2711565,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
DRR014782,f__Enterobacteriaceae_A,4.0,2.0,0.5,7.416986307872426e-07,4.0983262230788636e-07,-3.3186600847935626e-07
DRR014782,f__Hujiaoplasmataceae,4.0,1.0,0.25,7.416986307872426e-07,2.0491631115394318e-07,-5.367823196332994e-07
DRR014782,f__Saprospiraceae,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
DRR014782,f__Mycoplasmoidaceae,4.0,3.0,0.75,7.416986307872426e-07,6.147489334618295e-07,-1.2694969732541309e-07
DRR014782,f__JAMCPL01,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
DRR014782,f__UBA1234,4.0,6.0,1.5,7.416986307872426e-07,1.229497866923659e-06,4.877992361364165e-07
DRR014782,f__WLNW01,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
DRR014782,f__CAG-382,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
DRR014782,f__UBA12059,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
DRR014782,f__Sulfurimonadaceae,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
DRR014782,f__DSM-18226,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
DRR014782,f__Barnesiellaceae,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
DRR014782,f__Breznakiellaceae,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
DRR014782,f__Nostocaceae,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
DRR014782,f__Synergistaceae,3.0,3.0,1.0,5.56273973090432e-07,6.147489334618295e-07,5.8474960371397543e-08
DRR014782,f__Desulfobacteraceae,3.0,3.0,1.0,5.56273973090432e-07,6.147489334618295e-07,5.8474960371397543e-08
DRR014782,f__Bacillaceae_C,3.0,0.0,0.0,5.56273973090432e-07,0.0,-5.56273973090432e-07
DRR014782,f__WRLA01,3.0,0.0,0.0,5.56273973090432e-07,0.0,-5.56273973090432e-07
DRR014782,f__Azotimanducaceae,3.0,0.0,0.0,5.56273973090432e-07,0.0,-5.56273973090432e-07
DRR014782,f__UBA929,3.0,3.0,1.0,5.56273973090432e-07,6.147489334618295e-07,5.8474960371397543e-08
DRR014782,f__Desulfurivibrionaceae,3.0,3.0,1.0,5.56273973090432e-07,6.147489334618295e-07,5.8474960371397543e-08
DRR014782,f__Rhodanobacteraceae,3.0,3.0,1.0,5.56273973090432e-07,6.147489334618295e-07,5.8474960371397543e-08
DRR014782,f__Salinicoccaceae,3.0,0.0,0.0,5.56273973090432e-07,0.0,-5.56273973090432e-07
DRR014782,f__Magnetospirillaceae,3.0,0.0,0.0,5.56273973090432e-07,0.0,-5.56273973090432e-07
DRR014782,f__RAAP-2,3.0,0.0,0.0,5.56273973090432e-07,0.0,-5.56273973090432e-07
DRR014782,f__Dysgonomonadaceae,3.0,0.0,0.0,5.56273973090432e-07,0.0,-5.56273973090432e-07
DRR014782,f__F082,3.0,1.0,0.3333333333333333,5.56273973090432e-07,2.0491631115394318e-07,-3.513576619364888e-07
DRR014782,f__Sphingobacteriaceae,3.0,0.0,0.0,5.56273973090432e-07,0.0,-5.56273973090432e-07
DRR014782,f__NBLH01,3.0,3.0,1.0,5.56273973090432e-07,6.147489334618295e-07,5.8474960371397543e-08
DRR014782,f__Sedimentibacteraceae,3.0,0.0,0.0,5.56273973090432e-07,0.0,-5.56273973090432e-07
DRR014782,f__Dendrosporobacteraceae,3.0,0.0,0.0,5.56273973090432e-07,0.0,-5.56273973090432e-07
DRR014782,f__Caulobacteraceae,3.0,3.0,1.0,5.56273973090432e-07,6.147489334618295e-07,5.8474960371397543e-08
DRR014782,f__Crocinitomicaceae,3.0,0.0,0.0,5.56273973090432e-07,0.0,-5.56273973090432e-07
DRR014782,f__Cyanobiaceae,3.0,0.0,0.0,5.56273973090432e-07,0.0,-5.56273973090432e-07
DRR014782,f__UBA2359,3.0,3.0,1.0,5.56273973090432e-07,6.147489334618295e-07,5.8474960371397543e-08
